-129.000000, -65.000076
-129.000000, -65.000076
-129.000000, -65.000076
-129.000000, -65.000076
-118.314255, -8.398813
-118.317543, -12.428484
-115.313004, -14.412312
-111.316521, -16.334146
-113.318481, -19.371895
-109.315086, -21.355738
-100.317261, -20.363800
-95.316063, -21.355738
-104.315208, -24.331474
-90.312904, -22.347647
-110.315018, -27.369223
-92.315659, -25.385393
-98.319351, -28.361130
-102.319168, -29.353069
-80.317757, -26.315302
-96.314507, -30.344973
-84.316032, -28.361130
-91.311966, -31.336880
-84.314270, -30.344973
-100.321289, -34.374641
-94.315285, -34.312634
-87.321800, -33.320728
-49.322510, -19.371895
-81.316658, -33.320728
-58.324181, -26.315302
-93.315277, -37.350395
-64.316338, -30.344973
-79.315331, -35.304558
-73.316414, -34.312634
-86.321510, -38.342304
-44.328125, -23.339550
-64.315735, -33.320728
-78.317146, -38.342304
-66.320442, -35.304558
-41.325676, -25.323397
-72.317802, -38.342304
-85.315231, -41.380051
-30.332993, -19.371895
-45.326401, -30.344973
-49.317917, -32.328819
-64.319191, -38.342304
-70.313812, -40.326149
-58.320084, -37.350395
-54.322021, -36.358475
-74.319901, -42.309963
-81.321640, -44.355804
-63.316994, -40.326149
-43.323593, -33.320728
-26.341721, -24.331474
-50.320526, -37.350395
-36.330597, -31.336880
-32.329361, -29.353069
-12.414482, -12.428484
-70.318703, -44.355804
-78.313721, -46.339630
-59.315002, -42.309963
-33.326599, -32.328819
-37.336777, -34.312634
-47.324181, -39.334209
-28.348602, -31.336880
-26.333542, -30.344973
-22.352097, -28.361130
-60.322273, -44.355804
-40.323196, -38.342304
-15.373642, -25.385393
-46.319885, -41.318054
-29.342239, -34.312634
-70.319969, -48.323479
-8.324837, -20.363800
-3.307243, -16.396143
-6.615486, -20.363800
-50.324234, -44.355804
-41.322311, -41.318054
-63.316818, -48.323479
-16.386589, -30.344973
-19.333328, -32.390800
-55.323608, -47.331543
-31.339600, -39.334209
-8.500259, -26.377317
-35.328720, -41.318054
0.821655, -18.070007
-45.321442, -45.347721
2.463028, -17.140081
-65.326004, -51.361210
-20.342819, -36.358475
-58.324745, -50.307285
-15.351105, -34.312634
-52.322144, -49.315380
-35.329041, -44.355804
-40.330566, -46.339630
-29.341423, -42.309963
-45.316368, -48.323479
-21.343864, -40.326149
-6.550781, -32.328819
-47.330154, -50.307285
-15.362915, -38.342304
-57.316879, -53.345051
-37.324234, -48.323479
-28.341995, -45.347721
-2.428230, -32.390800
-10.425110, -37.350395
-18.346283, -42.309963
-42.327728, -51.299225
-48.328827, -53.345051
-27.325203, -47.331543
-32.337738, -49.315380
-19.362717, -45.347721
7.090637, -30.344973
5.587402, -32.328819
2.869812, -34.374641
-38.323792, -53.345051
-4.732704, -40.326149
4.845810, -35.304558
-23.349014, -49.315380
-16.353409, -47.331543
-41.331451, -56.320805
-11.378006, -46.339630
6.688828, -37.350395
11.349838, -35.304558
-34.335098, -56.320805
-21.336411, -52.353127
2.793259, -42.371975
-26.350952, -55.328884
13.399643, -37.288383
20.403900, -32.328819
-11.404663, -51.299225
-16.365631, -53.345051
4.489136, -45.347721
6.581070, -44.293808
-22.343025, -57.312710
-7.385841, -52.291134
-9.424805, -54.336960
9.468964, -46.339630
22.367645, -39.334209
3.788193, -50.369301
7.449158, -49.315380
-4.510872, -55.328884
-13.391663, -59.358536
-8.404106, -58.304615
13.372437, -50.307285
-0.766685, -57.312710
5.455032, -55.328884
29.365448, -43.301884
21.341782, -49.315380
14.380371, -53.345051
2.716324, -59.296558
26.332596, -49.315380
17.364517, -55.328884
11.419037, -58.366631
24.339340, -53.345051
46.314819, -42.309963
53.319977, -37.350395
20.386780, -58.304615
19.331116, -60.350456
26.345642, -58.304615
44.324020, -50.307285
34.335709, -57.312710
41.326721, -54.336960
46.329376, -54.336960
68.319992, -40.326149
52.321701, -52.353127
69.325195, -44.293808
67.309464, -46.339630
63.321777, -51.361210
70.318146, -49.315380
88.312134, -37.350395
82.316650, -43.301884
93.318848, -38.342304
104.312363, -28.361130
115.318726, -22.347647
-129.000000, -65.000076
-129.000000, -65.000076
-129.000000, -65.000076
-129.000000, -65.000076
-121.317574, -3.625221
-112.314606, -9.452732
-108.313087, -13.358409
-105.309685, -16.334146
-106.314781, -18.379986
-94.315353, -17.388065
-88.315277, -16.334146
-92.310867, -20.363800
-98.314499, -23.339550
-77.315224, -18.379986
-84.316582, -21.355738
-80.315697, -21.355738
-85.319283, -25.323397
-92.315720, -28.361130
-65.316742, -19.371895
-74.315872, -24.331474
-51.320366, -9.390720
-61.319061, -20.363800
-78.312584, -28.361130
-64.317253, -24.331474
-71.320724, -28.299149
-64.317352, -26.315302
-49.323593, -18.317976
-76.317093, -32.328819
-51.319931, -22.347647
-85.317245, -35.304558
-58.321068, -28.361130
-49.317139, -24.331474
-69.317383, -33.320728
-52.323669, -27.307226
-42.325981, -22.347647
-59.322243, -31.336880
-53.322754, -30.344973
-48.322464, -28.361130
-33.336411, -19.371895
-62.315628, -35.304558
-53.321609, -32.328819
-26.346565, -15.342224
-44.319962, -29.353069
-36.333313, -25.323397
-29.335571, -21.355738
-27.338715, -20.363800
-50.320969, -34.312634
-38.329025, -29.353069
-34.338699, -27.307226
-20.357399, -16.334146
-40.330467, -31.336880
-31.331627, -27.369223
-21.346603, -20.363800
-16.377480, -15.342224
-27.339691, -26.315302
-10.418045, -8.460810
-11.433517, -11.498556
-66.315811, -43.363880
-54.319191, -40.326149
-13.402954, -17.388065
-23.352180, -26.315302
-17.369225, -22.347647
-15.332619, -21.355738
-19.346649, -25.323397
-16.365570, -23.339550
-19.356659, -26.377317
-10.416008, -18.379986
-10.436409, -19.309898
-35.323273, -36.358475
-11.446869, -21.355738
-23.340652, -31.336880
-18.348175, -28.361130
-3.721909, -14.412312
-2.433823, -14.660281
-0.791351, -12.242496
-20.362579, -31.336880
-13.371971, -27.369223
-28.332748, -36.358475
-24.332245, -34.312634
-14.359009, -29.353069
0.214737, -16.148159
1.919815, -13.606380
-7.410599, -25.385393
-4.836945, -23.401566
3.032394, -15.900190
4.926895, -12.800446
-25.332497, -38.342304
0.041992, -20.859770
-10.403366, -30.344973
-8.427437, -29.353069
-2.941475, -25.385393
-11.388916, -32.328819
-4.473358, -28.299149
2.769669, -22.595631
0.726837, -24.889439
7.782303, -17.636034
6.102905, -20.487793
-4.670052, -30.344973
